number,value,datetime_start,datetime_complete,duration,params_c,params_eta,params_mu,params_rho,state
0,0.8653824570719827,2026-06-10 23:32:03.809452,2026-06-10 23:32:08.054805,0 days 00:00:04.245353,0.915387433293511,0.828985972936091,0.5736350692787126,0.2785158633816599,COMPLETE
1,0.5997166461548421,2026-06-10 23:32:08.056381,2026-06-10 23:32:08.516979,0 days 00:00:00.460598,0.11369138077847374,0.04088075102599997,0.27380977296188724,0.9484437165726882,COMPLETE
2,0.6707827722107566,2026-06-10 23:32:08.518077,2026-06-10 23:32:09.030586,0 days 00:00:00.512509,0.588191267853797,0.623155534931891,0.6949286783864272,0.20027910111426794,COMPLETE
3,0.4699330660549007,2026-06-10 23:32:09.032690,2026-06-10 23:32:09.484491,0 days 00:00:00.451801,0.5803929422742778,0.3827336180594706,0.4493971165453735,0.016037712511302815,COMPLETE
4,0.6262796076322094,2026-06-10 23:32:09.485845,2026-06-10 23:32:10.009233,0 days 00:00:00.523388,0.18149011699232265,0.5260504357198268,0.785273825723858,0.19024503723608943,COMPLETE
5,0.8130732792721271,2026-06-10 23:32:10.010683,2026-06-10 23:32:10.449607,0 days 00:00:00.438924,0.4038817235569916,0.7913046508983075,0.021239612872405056,0.5083413366861085,COMPLETE
6,0.43189131659575897,2026-06-10 23:32:10.450869,2026-06-10 23:32:11.035387,0 days 00:00:00.584518,0.2836896585859695,0.13322669627770467,0.6197964304932774,0.8269325836321958,COMPLETE
7,0.6518948835354113,2026-06-10 23:32:11.036421,2026-06-10 23:32:11.475851,0 days 00:00:00.439430,0.5763485270722363,0.6872986656983242,0.2041910809395444,0.5033161583009442,COMPLETE
8,0.4508626455540256,2026-06-10 23:32:11.478089,2026-06-10 23:32:11.976685,0 days 00:00:00.498596,0.014612600864090886,0.18895137935832196,0.7822811311836227,0.10835797042089357,COMPLETE
9,0.6866171974926495,2026-06-10 23:32:11.977834,2026-06-10 23:32:12.472469,0 days 00:00:00.494635,0.7223135988198799,0.6669026221080867,0.4070428302533038,0.945920175161288,COMPLETE
10,0.656996809459408,2026-06-10 23:32:12.473639,2026-06-10 23:32:12.923733,0 days 00:00:00.450094,0.13287423424609668,0.713391801981757,0.5603258109001514,0.12618465788081945,COMPLETE
11,0.27255920733915884,2026-06-10 23:32:12.924859,2026-06-10 23:32:13.445512,0 days 00:00:00.520653,0.11333826909978673,0.07776134177231597,0.6246572499374464,0.27868801987105885,COMPLETE
12,0.4706137661927839,2026-06-10 23:32:13.447176,2026-06-10 23:32:13.915792,0 days 00:00:00.468616,0.10150303846343212,0.5365043826708854,0.5995503701519002,0.063645376176662,COMPLETE
13,0.6638776700448387,2026-06-10 23:32:13.916791,2026-06-10 23:32:14.405645,0 days 00:00:00.488854,0.475796339088588,0.7045715190881858,0.22405836394482626,0.4948520312797787,COMPLETE
14,0.3528923136248431,2026-06-10 23:32:14.406901,2026-06-10 23:32:14.959442,0 days 00:00:00.552541,0.46412647514039496,0.3971675196063611,0.21355859917362818,0.4115555426966886,COMPLETE
15,0.5366168924515544,2026-06-10 23:32:14.961383,2026-06-10 23:32:15.538130,0 days 00:00:00.576747,0.7756397260137753,0.262314106915718,0.02518645349180526,0.9634367166467681,COMPLETE
16,0.8115567399591759,2026-06-10 23:32:15.540057,2026-06-10 23:32:16.246424,0 days 00:00:00.706367,0.9873492247840666,0.46752088302363737,0.7615015268084637,0.06462784862580928,COMPLETE
17,0.319396692553551,2026-06-10 23:32:16.247637,2026-06-10 23:32:16.884530,0 days 00:00:00.636893,0.16497619118935825,0.2954762474075595,0.4466692106668755,0.43314507584786266,COMPLETE
18,0.029375935678266126,2026-06-10 23:32:16.885752,2026-06-10 23:32:17.680802,0 days 00:00:00.795050,0.47735241462174616,0.03238371455917333,0.4756628332235311,0.44515407379064054,COMPLETE
19,0.6449134155165775,2026-06-10 23:32:17.683370,2026-06-10 23:32:18.320944,0 days 00:00:00.637574,0.5135906132995559,0.6507231425247263,0.36102478609342703,0.710143210296322,COMPLETE
20,0.6069812085126076,2026-06-10 23:32:18.322059,2026-06-10 23:32:18.758813,0 days 00:00:00.436754,0.8382582692679685,0.46525985076394527,0.04230566755568188,0.687540203251918,COMPLETE
21,0.7530345878230092,2026-06-10 23:32:18.760045,2026-06-10 23:32:19.323456,0 days 00:00:00.563411,0.31867443045093125,0.688495665042372,0.7823613231096461,0.4781604592138733,COMPLETE
