rho,eta,c,mu,loss
0,0,0,0,0
0,0,0,0.01,0.01
0,0,0,0.02,0.02
0,0,0,0.03,0.03
0,0,0,0.04,0.04
0,0,0,0.05,0.05
0,0,0.01,0,0.01
0,0,0.01,0.01,0.014142135
0,0,0.01,0.02,0.022360679
0,0,0.01,0.03,0.031622775
0,0,0.01,0.04,0.041231055
0,0,0.02,0,0.02
0,0,0.02,0.01,0.022360679
0,0,0.02,0.02,0.02828427
0,0,0.02,0.03,0.036055513
0,0,0.02,0.04,0.044721358
0,0,0.03,0,0.03
0,0,0.03,0.01,0.031622775
0,0,0.03,0.02,0.036055513
0,0,0.03,0.03,0.042426407
0,0,0.03,0.04,0.049999997
0,0,0.04,0,0.04
0,0,0.04,0.01,0.041231055
0,0,0.04,0.02,0.044721358
0,0,0.04,0.03,0.049999997
0,0,0.05,0,0.05
0,0.01,0,0,0.01
0,0.01,0,0.01,0.014142135
0,0.01,0,0.02,0.022360679
0,0.01,0,0.03,0.031622775
0,0.01,0,0.04,0.041231055
0,0.01,0.01,0,0.014142135
0,0.01,0.01,0.01,0.017320508
0,0.01,0.01,0.02,0.024494898
0,0.01,0.01,0.03,0.03316625
0,0.01,0.01,0.04,0.042426407
0,0.01,0.02,0,0.022360679
0,0.01,0.02,0.01,0.024494898
0,0.01,0.02,0.02,0.03
0,0.01,0.02,0.03,0.037416574
0,0.01,0.02,0.04,0.045825757
0,0.01,0.03,0,0.031622775
0,0.01,0.03,0.01,0.03316625
0,0.01,0.03,0.02,0.037416574
0,0.01,0.03,0.03,0.04358899
0,0.01,0.04,0,0.041231055
0,0.01,0.04,0.01,0.042426407
0,0.01,0.04,0.02,0.045825757
0,0.02,0,0,0.02
0,0.02,0,0.01,0.022360679
0,0.02,0,0.02,0.02828427
0,0.02,0,0.03,0.036055513
0,0.02,0,0.04,0.044721358
0,0.02,0.01,0,0.022360679
0,0.02,0.01,0.01,0.024494898
0,0.02,0.01,0.02,0.03
0,0.02,0.01,0.03,0.037416574
0,0.02,0.01,0.04,0.045825757
0,0.02,0.02,0,0.02828427
0,0.02,0.02,0.01,0.03
0,0.02,0.02,0.02,0.034641016
0,0.02,0.02,0.03,0.041231055
0,0.02,0.02,0.04,0.048989795
0,0.02,0.03,0,0.036055513
0,0.02,0.03,0.01,0.037416574
0,0.02,0.03,0.02,0.041231055
0,0.02,0.03,0.03,0.046904158
0,0.02,0.04,0,0.044721358
0,0.02,0.04,0.01,0.045825757
0,0.02,0.04,0.02,0.048989795
0,0.03,0,0,0.03
0,0.03,0,0.01,0.031622775
0,0.03,0,0.02,0.036055513
0,0.03,0,0.03,0.042426407
0,0.03,0,0.04,0.049999997
0,0.03,0.01,0,0.031622775
0,0.03,0.01,0.01,0.03316625
0,0.03,0.01,0.02,0.037416574
0,0.03,0.01,0.03,0.04358899
0,0.03,0.02,0,0.036055513
0,0.03,0.02,0.01,0.037416574
0,0.03,0.02,0.02,0.041231055
0,0.03,0.02,0.03,0.046904158
0,0.03,0.03,0,0.042426407
0,0.03,0.03,0.01,0.04358899
0,0.03,0.03,0.02,0.046904158
0,0.03,0.04,0,0.049999997
0,0.04,0,0,0.04
0,0.04,0,0.01,0.041231055
0,0.04,0,0.02,0.044721358
0,0.04,0,0.03,0.049999997
0,0.04,0.01,0,0.041231055
0,0.04,0.01,0.01,0.042426407
0,0.04,0.01,0.02,0.045825757
0,0.04,0.02,0,0.044721358
0,0.04,0.02,0.01,0.045825757
0,0.04,0.02,0.02,0.048989795
0,0.04,0.03,0,0.049999997
0,0.05,0,0,0.05
0,0.1,0.03,0.62,0.048108075
0,0.1,0.03,0.63,0.048395153
0,0.1,0.03,0.65,0.04955865
0,0.1,0.03,0.66,0.045815207
0,0.1,0.05,0.66,0.049109463
0,0.1,0.06,0.67,0.048977785
0,0.11,0,0.67,0.049789328
0,0.11,0.01,0.66,0.047777753
0,0.11,0.02,0.61,0.044791
0,0.11,0.03,0.58,0.046619557
0,0.11,0.03,0.63,0.047005255
0,0.11,0.03,0.66,0.048044927
0,0.11,0.04,0.64,0.04894495
0,0.11,0.05,0.6,0.0479256
0,0.11,0.05,0.66,0.044118065
0,0.12,0.01,0.65,0.043794077
0,0.12,0.01,0.67,0.048919782
0,0.12,0.01,0.68,0.045148537
0,0.12,0.02,0.62,0.047549617
0,0.12,0.03,0.6,0.039435893
0,0.12,0.03,0.63,0.047530822
0,0.12,0.03,0.69,0.047748223
0,0.12,0.05,0.63,0.043538373
0,0.12,0.05,0.64,0.045365166
0,0.12,0.05,0.65,0.04542638
0,0.12,0.05,0.66,0.046188567
0,0.12,0.06,0.55,0.047228206
0,0.12,0.06,0.57,0.047001366
0,0.12,0.06,0.61,0.049513076
0,0.12,0.06,0.62,0.049567763
0,0.12,0.06,0.63,0.045625217
0,0.12,0.06,0.64,0.048668023
0,0.12,0.06,0.66,0.046016213
0,0.12,0.06,0.67,0.04632301
0,0.13,0,0.64,0.039306156
0,0.13,0.01,0.61,0.049308453
0,0.13,0.01,0.64,0.04269416
0,0.13,0.02,0.62,0.04578566
0,0.13,0.02,0.66,0.04965766
0,0.13,0.02,0.68,0.04899417
0,0.13,0.04,0.63,0.042440593
0,0.13,0.04,0.64,0.039066013
0,0.13,0.04,0.65,0.04498501
0,0.13,0.04,0.66,0.049079087
0,0.13,0.04,0.67,0.04353662
0,0.13,0.05,0.59,0.042436913
0,0.13,0.05,0.61,0.048613053
0,0.13,0.05,0.62,0.04823472
0,0.13,0.05,0.63,0.046660546
0,0.13,0.05,0.64,0.049956974
0,0.13,0.05,0.65,0.049720403
0,0.13,0.05,0.66,0.045389995
0,0.13,0.05,0.67,0.042979106
0,0.13,0.06,0.57,0.047252353
0,0.13,0.06,0.6,0.04978767
0,0.13,0.06,0.63,0.04645885
0,0.13,0.06,0.64,0.049764264
0,0.13,0.06,0.66,0.048929617
0,0.13,0.07,0.67,0.04641555
0,0.14,0,0.66,0.049590237
0,0.14,0.01,0.6,0.047205623
0,0.14,0.01,0.61,0.048957873
0,0.14,0.01,0.63,0.043188225
0,0.14,0.01,0.65,0.04600599
0,0.14,0.01,0.68,0.04363846
0,0.14,0.02,0.61,0.038540155
0,0.14,0.02,0.64,0.0482089
0,0.14,0.02,0.72,0.04189987
0,0.14,0.03,0.59,0.04944215
0,0.14,0.03,0.61,0.047045138
0,0.14,0.03,0.63,0.044992357
0,0.14,0.03,0.64,0.04128063
